method,source_input_contract,source_input_l2_norm,unit_samples_per_group,replicates,accounted_samples_total,qsvt_consumed_samples,unused_samples,used_fraction,actively_drawn_pairs,orientation_flip_count,classical_weight_scale_reused,classical_intercept_reused,success_probability_mean,success_probability_std,fidelity_mean,fidelity_std,test_accuracy_mean,test_accuracy_std,raw_target_overlap_mean,raw_target_overlap_std,orientation_multiplier_mean,orientation_multiplier_std,relative_weight_l2_error_mean,relative_weight_l2_error_std
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,20,64,48,16,0.75,64,9,5.726650464525151,0.03129082689345313,0.14131252971963867,0.011040389143567189,0.006095822702911841,0.008087401505682129,0.5115400000000002,0.012436723210336655,0.027341678814335458,0.07503160949700544,0.1,1.020835571068081,1.36755992184593,0.033530306170913037
expected_channel_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,1,48,48,0,1.0,0,0,5.726650464525151,0.03129082689345313,0.0023486861117370077,0.0,0.9988017542948194,0.0,0.67676,0.0,0.9994006975657058,0.0,1.0,0.0,0.03462087330770931,0.0
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,32,20,128,96,32,0.75,128,0,5.726650464525151,0.03129082689345313,0.12690746415101348,0.022103158312371727,0.03309194753894746,0.02683407406614989,0.5307080000000001,0.02226466674493823,0.16521132602286473,0.07811708683437055,1.0,0.0,1.2907674405594398,0.060669617349810134
expected_channel_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,32,1,96,96,0,1.0,0,0,5.726650464525151,0.03129082689345313,0.006094955618751741,0.0,0.9997042576261501,0.0,0.67724,0.0,0.9998521178785141,0.0,1.0,0.0,0.017197797619802026,0.0
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,64,20,256,192,64,0.75,256,0,5.726650464525151,0.03129082689345313,0.11811429083197014,0.0206053469515713,0.11132076091821552,0.04451741850744118,0.561386,0.017770837257768842,0.3265804226906187,0.07008257110033896,1.0,0.0,1.1590545593429464,0.06010239582834233
expected_channel_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,64,1,192,192,0,1.0,0,0,5.726650464525151,0.03129082689345313,0.009813416968948767,0.0,0.9998282052556807,0.0,0.6776,0.0,0.9999140989383442,0.0,1.0,0.0,0.013107330899605956,0.0
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,20,512,384,128,0.75,512,0,5.726650464525151,0.03129082689345313,0.08864779593861848,0.01623142848788251,0.23202933244013732,0.047384960141459945,0.5868419999999999,0.013484159751743018,0.47924820541887814,0.049741331357143606,1.0,0.0,1.0194365128523624,0.048696540735879666
expected_channel_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,1,384,384,0,1.0,0,0,5.726650464525151,0.03129082689345313,0.012445607214982066,0.0,0.9998653254250042,0.0,0.67768,0.0,0.9999326604451942,0.0,1.0,0.0,0.011605132899341383,0.0
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,20,1024,768,256,0.75,1024,0,5.726650464525151,0.03129082689345313,0.07347844530663265,0.0171625190742845,0.4436530727945677,0.06615351283401631,0.623844,0.01248830290606712,0.6642978409988106,0.04985717747924103,1.0,0.0,0.8172267487252682,0.061084576141833345
expected_channel_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,1,768,768,0,1.0,0,0,5.726650464525151,0.03129082689345313,0.014013176643002593,0.0,0.9998812206843813,0.0,0.6776,0.0,0.9999406085785202,0.0,1.0,0.0,0.010898754193005808,0.0
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,512,20,2048,1536,512,0.75,2048,0,5.726650464525151,0.03129082689345313,0.058604571329749645,0.008010555362353329,0.604243045781553,0.05183463414049674,0.6409420000000001,0.008037716093518107,0.7766352533664175,0.03372846697147437,1.0,0.0,0.6666132085713077,0.04980301645304633
expected_channel_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,512,1,1536,1536,0,1.0,0,0,5.726650464525151,0.03129082689345313,0.014868770815120183,0.0,0.9998887228546453,0.0,0.67756,0.0,0.9999443598794111,0.0,1.0,0.0,0.010548945026776741,0.0
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,1024,20,4096,3072,1024,0.75,4096,0,5.726650464525151,0.03129082689345313,0.05440305875223268,0.00624328472040874,0.7619560631146383,0.04351231257979016,0.6566620000000001,0.005799317201188433,0.8725540010890039,0.025247788818417053,1.0,0.0,0.5026510420455094,0.04849229729994743
expected_channel_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,1024,1,3072,3072,0,1.0,0,0,5.726650464525151,0.03129082689345313,0.015315760244841145,0.0,0.9998923762400498,0.0,0.67752,0.0,0.9999461866720878,0.0,1.0,0.0,0.010374326764858945,0.0
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,2048,20,8192,6144,2048,0.75,8192,0,5.726650464525151,0.03129082689345313,0.048688134491401996,0.0037825598447657335,0.8592289660135265,0.026613100636128748,0.6652340000000001,0.003913104031059573,0.926839870219465,0.014393748097943516,1.0,0.0,0.38076795882611386,0.037501173209225164
expected_channel_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,2048,1,6144,6144,0,1.0,0,0,5.726650464525151,0.03129082689345313,0.015544216352132368,0.0,0.9998941793449766,0.0,0.67756,0.0,0.9999470882726629,0.0,1.0,0.0,0.010287052769088591,0.0
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,4096,20,16384,12288,4096,0.75,16384,0,5.726650464525151,0.03129082689345313,0.04769429429725786,0.0018994790906444506,0.9279572976197544,0.010983033689961438,0.671652,0.002131274884096118,0.9632892826045303,0.005717529739305932,1.0,0.0,0.2702270803584877,0.020487732706156645
expected_channel_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,4096,1,12288,12288,0,1.0,0,0,5.726650464525151,0.03129082689345313,0.015659705708615385,0.0,0.9998950750506808,0.0,0.67752,0.0,0.9999475361491126,0.0,1.0,0.0,0.010243422366310304,0.0
