experiment_id,control_type,source,D,n_address,n_total_qubits,algorithmic_ancillas,flat_sign_vector,num_negative_components_K,model_sha256,M_data,R_stream_index,S_shots,stream_mode,stream_sha256,ideal_F_echo,statevector_F_echo,full_state_l2_error,qasm_path,qasm_sha256,logical_depth,logical_h,logical_x,logical_u1,logical_cx,logical_barrier,recommended_functional_pilot
imdb_flat_001_h_only_M0_r0,h_only,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,0,0,2048,none,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.0,0.9999999999999993,0.0,results/imdb_vector_pilot/qasm/imdb_flat_001_h_only_M0_r0.qasm,2faa21218d2ed0f771c737beb99529ebb6855779a3a7638374191aebf0b0aba1,3,4,0,0,0,2,True
imdb_flat_002_exact_pair_M0_r0,exact_pair,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,0,0,2048,none,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.0,0.9999999999999993,0.0,results/imdb_vector_pilot/qasm/imdb_flat_002_exact_pair_M0_r0.qasm,b99f223bd97a02be1c2076215085b0bea1678024c881fae1bcb569fc6bba3add,37,4,8,18,12,9,True
imdb_flat_003_balanced_stream_M16_r0,balanced_stream,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,16,0,2048,balanced,913a0bc7d53ff4a7cb36746c646201468727a9a2edce428b954a05d12ebd63bc,1.0,0.9999999999999978,1.205497807722107e-15,results/imdb_vector_pilot/qasm/imdb_flat_003_balanced_stream_M16_r0.qasm,ed1396ae2d910cc0372346596955c0168dd2813d4d00296048065db48e733273,88,4,20,45,30,22,True
imdb_flat_004_phase_count_probe_M16_r0,phase_count_probe,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,16,0,2048,fixed_counts_4_3_4_5,932cb4c22d222dc0093acf2c68d8d7d1f8a4ebca0a9c725e5d2e9464b7f980af,0.7285533905932737,0.7285533905932724,1.0028919967441362e-15,results/imdb_vector_pilot/qasm/imdb_flat_004_phase_count_probe_M16_r0.qasm,bd527837f1c07f24018316381972ebfade0610595b0c0d125baab47b835ad1e1,87,4,18,45,30,22,True
imdb_flat_005_synthetic_entangled_balanced_M8_r0,synthetic_entangled_balanced,fixed synthetic calibration target; not IMDb,4,2,2,0,"[1, 1, 1, -1]",1,,8,0,2048,balanced,76ad726a7f2caae601597785ed94d0706bd35ec39e5a8f59011caaf4d45dd118,1.0,0.9999999999999993,5.669000749040881e-16,results/imdb_vector_pilot/qasm/imdb_flat_005_synthetic_entangled_balanced_M8_r0.qasm,02ee9768bef489fcf978c46dd46054fc2f2677ec80f1c423981396f1109d5a8d,18,4,0,9,6,12,True
imdb_flat_006_iid_M4_r0,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,4,0,2048,iid,bf626b717a8a04aa70574015a647c39ff8dc06b821d29e972de5c8e9ba8bc9fa,0.0,4.970261505301666e-67,7.116331949690931e-16,results/imdb_vector_pilot/qasm/imdb_flat_006_iid_M4_r0.qasm,a279818603bc947878a6761279d5994732bf676cb3f9f307dc280d67e58afffb,37,4,8,18,12,10,False
imdb_flat_007_iid_M4_r1,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,4,1,2048,iid,f2d63a605d8c1033a71ea20e700d91046f7f8c5331273feef1fe379540227737,0.25,0.24999999999999983,8.082545620880527e-16,results/imdb_vector_pilot/qasm/imdb_flat_007_iid_M4_r1.qasm,e3f4611bf3bffdf24d57a30dbba0c1348263a2368f0d56812e37af0294c45ef2,44,4,12,21,14,10,False
imdb_flat_008_iid_M4_r2,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,4,2,2048,iid,ce6a08e0e728b8174be18416de2b1a23f6c62906d2306bc4cf8e36de59e4e945,0.25,0.24999999999999983,5.0876810486276e-16,results/imdb_vector_pilot/qasm/imdb_flat_008_iid_M4_r2.qasm,e825aec9fc06f60a907c48898cb652bdccca10e301a4eb190063c15632af2221,31,4,6,15,10,10,False
imdb_flat_009_iid_M4_r3,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,4,3,2048,iid,73d0cbf947c54ace6ea4e56d6cd16e2fd6b2cec31e1c05caa975633cf595067f,0.25,0.24999999999999983,1.0235750533041803e-15,results/imdb_vector_pilot/qasm/imdb_flat_009_iid_M4_r3.qasm,39e3c8bd3510dd2873627625ef43f8c7a8e8d871f2827ce87f829176550079c2,44,4,12,21,14,10,False
imdb_flat_010_iid_M4_r4,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,4,4,2048,iid,d340dbc1256765fea41925fda295bdfeaa1055cbfeae0fdba8608e3116d746dc,3.749399456654644e-33,1.4763678230593879e-31,5.560634656913422e-16,results/imdb_vector_pilot/qasm/imdb_flat_010_iid_M4_r4.qasm,9787d6f49ceef3c6abaf07b5caffe0994f8029073ba2170d4778187d5afa800b,26,4,6,12,8,10,False
