M_over_N,M_data,stream_index,ideal_F_echo,transpiled_depth_local,local_cx_count,generic_noise_F_echo,shot_ci95_halfwidth,counts
1,4,0,3.749399456654644e-33,49,24,0.0166015625,0.00553388760874498,"{""00"": 34, ""01"": 70, ""10"": 71, ""11"": 1873}"
1,4,1,0.0,95,48,0.0361328125,0.008082590516156105,"{""00"": 74, ""01"": 92, ""10"": 105, ""11"": 1777}"
1,4,2,0.25,118,60,0.24951171875,0.01874168036082041,"{""00"": 511, ""01"": 479, ""10"": 528, ""11"": 530}"
1,4,3,0.25,118,60,0.2587890625,0.018968586243043574,"{""00"": 530, ""01"": 492, ""10"": 514, ""11"": 512}"
1,4,4,3.749399456654644e-33,49,24,0.01708984375,0.005613284477360381,"{""00"": 35, ""01"": 58, ""10"": 61, ""11"": 1894}"
1,4,5,0.0,95,48,0.03369140625,0.007814632970985266,"{""00"": 69, ""01"": 96, ""10"": 103, ""11"": 1780}"
1,4,6,3.749399456654644e-33,49,24,0.01953125,0.005993396264100509,"{""00"": 40, ""01"": 71, ""10"": 66, ""11"": 1871}"
1,4,7,1.0,95,48,0.876953125,0.01422704088138904,"{""00"": 1796, ""01"": 87, ""10"": 101, ""11"": 64}"
1,4,8,0.0,95,48,0.0361328125,0.008082590516156105,"{""00"": 74, ""01"": 92, ""10"": 94, ""11"": 1788}"
1,4,9,0.25,118,60,0.263671875,0.019083529191976333,"{""00"": 540, ""01"": 500, ""10"": 510, ""11"": 498}"
1,4,10,0.25,118,60,0.24658203125,0.018667656245332884,"{""00"": 505, ""01"": 489, ""10"": 521, ""11"": 533}"
1,4,11,1.0,95,48,0.87353515625,0.01439515001864063,"{""00"": 1789, ""01"": 85, ""10"": 112, ""11"": 62}"
1,4,12,0.25,72,36,0.25341796875,0.018838597383782366,"{""00"": 519, ""01"": 555, ""10"": 488, ""11"": 486}"
1,4,13,0.25,118,60,0.24951171875,0.01874168036082041,"{""00"": 511, ""01"": 495, ""10"": 520, ""11"": 522}"
1,4,14,0.25,118,60,0.255859375,0.01889814904739117,"{""00"": 524, ""01"": 520, ""10"": 502, ""11"": 502}"
1,4,15,3.749399456654644e-33,49,24,0.02001953125,0.006066340139069333,"{""00"": 41, ""01"": 58, ""10"": 55, ""11"": 1894}"
1,4,16,0.25,72,36,0.2666015625,0.01915104296408213,"{""00"": 546, ""01"": 521, ""10"": 485, ""11"": 496}"
1,4,17,0.25,72,36,0.2490234375,0.01872942302040087,"{""00"": 510, ""01"": 531, ""10"": 493, ""11"": 514}"
1,4,18,3.749399456654644e-33,141,72,0.04052734375,0.008540464001351384,"{""00"": 83, ""01"": 118, ""10"": 144, ""11"": 1703}"
1,4,19,1.0,95,48,0.87841796875,0.014153908969400709,"{""00"": 1799, ""01"": 87, ""10"": 76, ""11"": 86}"
1,4,20,1.0,95,48,0.8701171875,0.014559813467547967,"{""00"": 1782, ""01"": 101, ""10"": 106, ""11"": 59}"
1,4,21,0.25,118,60,0.25244140625,0.018814557552097343,"{""00"": 517, ""01"": 524, ""10"": 476, ""11"": 531}"
