experiment_id,control_type,n_address,n_total_qubits,N,function,truth_table_sha256,stream_mode,stream_sha256,M_data,R_streams,R_stream_index,S_shots,pair_id,preserve_update_boundaries,ideal_F_echo,qasm_path,qasm_sha256,logical_depth,logical_h,logical_x,logical_cx,logical_ccx,logical_u1,cx_proxy_before_routing,budget_tier,recommended_first_pilot
qos_001_h_only_n1_M0_r0,h_only,1,1,2,none,ab395cb4c41927dc03d8d0b9e1de32ba2761d97d7d85b9c89fc54ae3591dc0e1,none,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,1,0,2048,,False,1.0,results/quafu_bundle/qasm/qos_001_h_only_n1_M0_r0.qasm,28236630d81f408f5b902ca4690e893ec43dd120a0db2e60d7f3ef79f02e0064,3,2,0,0,0,0,0,low,True
qos_002_h_only_n2_M0_r0,h_only,2,2,4,none,a90d007c2fc57df6e0f2928df79a54a9677f79afcbd89399d8a7da5010264237,none,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,1,0,2048,,False,1.0,results/quafu_bundle/qasm/qos_002_h_only_n2_M0_r0.qasm,7cf87958fedfb13fff9422fb8179110262b866be2da836880760e0de7997e73a,3,4,0,0,0,0,0,low,True
qos_003_h_only_n3_M0_r0,h_only,3,3,8,none,c14bc7d02c76f1aeaef4499b60987f4ef3b4e23b000ea9940627b633166707f6,none,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,1,0,2048,,False,1.0,results/quafu_bundle/qasm/qos_003_h_only_n3_M0_r0.qasm,964810a1d5d7984aa5e4279056cf2b03da6a6ea48c4b1dd61239ef7e2462486b,3,6,0,0,0,0,0,low,True
qos_004_exact_pair_n1_M0_r0,exact_pair,1,2,2,parity,923682bea6d517dc178d480c88e129e485ed902f4fa024866666658cd4ea6836,none,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,1,0,2048,,True,1.0,results/quafu_bundle/qasm/qos_004_exact_pair_n1_M0_r0.qasm,134cfb9cb0d97050b0717cb0f2ffd8e0e0694dfe4770b99b5d0fa24d11ff6bac,9,2,0,4,0,2,4,low,False
qos_005_exact_pair_n2_M0_r0,exact_pair,2,3,4,parity,b5d1f15c17250b42fb708476c737dc76863b988b537c24365a2831318d085042,none,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,1,0,2048,,True,1.0,results/quafu_bundle/qasm/qos_005_exact_pair_n2_M0_r0.qasm,8c0ef6f7d5c2a70d4e6d010ceda394a52950a239a42f7729f1cff50a8cb8d26d,23,4,8,0,8,4,48,low,False
qos_006_exact_pair_n3_M0_r0,exact_pair,3,5,8,marked,24165068bb0dbfcad8dc7487eb1ec061308b856bb68dfff7225f7d1cca92066d,none,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,1,0,2048,,True,1.0,results/quafu_bundle/qasm/qos_006_exact_pair_n3_M0_r0.qasm,82163572ae9f701c7b07cd3dba94c98523e2a6dd8d9acb6873a6abc494f15caf,13,6,0,0,8,2,48,low,False
qos_007_balanced_depth_n1_M8_r0,balanced_depth,1,2,2,parity,923682bea6d517dc178d480c88e129e485ed902f4fa024866666658cd4ea6836,balanced,d0e580e18bf75733071ae321899a6117b214282d2916958dd13a4bb880aea334,8,1,0,2048,barrier_pair_n1_parity_M8,True,1.0,results/quafu_bundle/qasm/qos_007_balanced_depth_n1_M8_r0.qasm,2457fd407db8f487ea3c039442de40c7f108313264ccf4f87775a10e80da0d5d,18,2,0,10,0,5,10,low,True
qos_008_balanced_depth_n2_M16_r0,balanced_depth,2,3,4,parity,b5d1f15c17250b42fb708476c737dc76863b988b537c24365a2831318d085042,balanced,e7b70401d99ac76ea4955533b2bcbb5c075ae109481d042fe2dfa699b89ff30b,16,1,0,2048,barrier_pair_n2_parity_M16,True,1.0,results/quafu_bundle/qasm/qos_008_balanced_depth_n2_M16_r0.qasm,fd27bd9c4cccc1441e52ef95fbc787545890dfcbfd6a0f8f202c1de81cdafa96,53,4,20,0,20,10,120,medium,False
qos_009_balanced_depth_n3_M16_r0,balanced_depth,3,5,8,marked,24165068bb0dbfcad8dc7487eb1ec061308b856bb68dfff7225f7d1cca92066d,balanced,028c9368c80169b5dd8e5e958603f4d4d4f506cf7eda05076f9c3aa949bd3b9c,16,1,0,2048,,True,1.0,results/quafu_bundle/qasm/qos_009_balanced_depth_n3_M16_r0.qasm,ed487ac0617561f678b827779c71aaaa328346db6d6b154094e278804b5c8e2f,18,6,0,0,12,3,72,medium,False
qos_010_compiler_stress_n3_M8_r0,compiler_stress,3,5,8,majority,f362bf34947fde3f0cacc5b2b188c6161f5967e1621e60eb18e79e8f5c6fcbe7,balanced,338b2fbdb08b58b75139819b7a55c2e1a63586c32125bbbdc5e0ba9648f61461,8,1,0,2048,,True,1.0,results/quafu_bundle/qasm/qos_010_compiler_stress_n3_M8_r0.qasm,427a8835965f2f36931cb5b22254900b3d1fa2c036607e073432d11272941364,51,6,12,0,32,8,192,high,False
qos_011_iid_n1_M2_r0,iid,1,2,2,parity,923682bea6d517dc178d480c88e129e485ed902f4fa024866666658cd4ea6836,iid,814dd7b9784d57c15b9c2972e9b4fd6cf7e164f8162a934bdb2452a413dab1f7,2,2,0,2048,,True,3.749399456654644e-33,results/quafu_bundle/qasm/qos_011_iid_n1_M2_r0.qasm,70caef6fd8063f3c2125bd6246db26e227a3b36480a4842cf1adfa96aac8f255,12,2,0,6,0,3,6,low,False
