experiment_id,M_data,M_over_D,R_stream_index,ideal_F_echo,logical_cx,negative_sample_count,stream_sha256,qasm_sha256
imdb_flat_006_iid_M4_r0,4,1.0,0,0.0,12,3,bf626b717a8a04aa70574015a647c39ff8dc06b821d29e972de5c8e9ba8bc9fa,a279818603bc947878a6761279d5994732bf676cb3f9f307dc280d67e58afffb
imdb_flat_007_iid_M4_r1,4,1.0,1,0.25,14,4,f2d63a605d8c1033a71ea20e700d91046f7f8c5331273feef1fe379540227737,e3f4611bf3bffdf24d57a30dbba0c1348263a2368f0d56812e37af0294c45ef2
imdb_flat_008_iid_M4_r2,4,1.0,2,0.25,10,2,ce6a08e0e728b8174be18416de2b1a23f6c62906d2306bc4cf8e36de59e4e945,e825aec9fc06f60a907c48898cb652bdccca10e301a4eb190063c15632af2221
imdb_flat_009_iid_M4_r3,4,1.0,3,0.25,14,4,73d0cbf947c54ace6ea4e56d6cd16e2fd6b2cec31e1c05caa975633cf595067f,39e3c8bd3510dd2873627625ef43f8c7a8e8d871f2827ce87f829176550079c2
imdb_flat_010_iid_M4_r4,4,1.0,4,3.749399456654644e-33,8,1,d340dbc1256765fea41925fda295bdfeaa1055cbfeae0fdba8608e3116d746dc,9787d6f49ceef3c6abaf07b5caffe0994f8029073ba2170d4778187d5afa800b
imdb_flat_011_iid_M4_r5,4,1.0,5,0.25,14,4,3329c5189b4d5e933aa3456978f1e060afda2b439d59361dfbe98b34e2512f2c,d2cbd310675659d8588bbd65c60e44f648e2bb10971a094e0a6e65d854ca83d6
imdb_flat_012_iid_M4_r6,4,1.0,6,1.4997597826618576e-32,12,3,6dca6c68c8e5ddd435f91a5842e5faace1be3a267f364a880c20e1d3e3efb29b,2d3290eccd42f7db9d3175b776987ac78ba4d6e1c87fc548f5d30a61ed6ea2f7
imdb_flat_013_iid_M4_r7,4,1.0,7,0.25,10,2,b64c0d4ec2af5aba75d0e38754bd4da29669e6bd54220441f3710964fdb4ece3,b477d9c98038a2bd3dc8608c2144cc6bef24c33d7978c6b06fde0ade3f47408e
imdb_flat_014_iid_M4_r8,4,1.0,8,0.25,10,2,57afab5e450b0bbe35b2ed8395f802f72f49ae3dc3b0725c9632660af41ac0fd,f67265bca02ba196219411c5307595099b1fed02e1162ef47c0e2a836fdad58b
imdb_flat_015_iid_M4_r9,4,1.0,9,3.749399456654644e-33,8,1,5778f985db754c6628691f56fadae50c65fddbe8eb2e93039633fefa05d45e31,04d86187675907a8dd846d5250f35813ece92034688e2db3615b2a12d804c53c
imdb_flat_016_iid_M4_r10,4,1.0,10,0.0,12,3,6a70b00ccd6b375554ee2139cada181d701e79185a4a113af8f5e6fa04c829f6,b057c19b3c2a2912995957c77747d4d3368f5ef8859abd3cac08eab2bb1bdd7c
imdb_flat_017_iid_M4_r11,4,1.0,11,0.0,12,3,81c3a337bf8b7341ea7b77820365a4d29fb80609b4ba67298e767975baa2359f,db45c076cb5f68c849e1364f9efc0557f65d93898bf11a65d3ab53ed91a1f959
imdb_flat_018_iid_M4_r12,4,1.0,12,0.25,14,4,7a87bdb1cc8d6df4973f30cb6d3dd63eebedb51dd58396349b48ffa6148aa8fb,cfbf445af15c0b0922fbcb9c2d8add155ec5d69650afeff705738eb45e154ddd
imdb_flat_019_iid_M4_r13,4,1.0,13,0.25,14,4,2f168d7a99669e492ffbbaccda9b0a1cb090578c6df8e50a772f1fb57303bd83,f05d3c033b7b458bc0d43355858b9417360ffa8e9c15223401398fe8698d4f35
imdb_flat_020_iid_M4_r14,4,1.0,14,0.25,10,2,fa9cc3e0088a2fc6ba7ba2f4224f88fc8ae064aa2bb29e4414235fd4fbc5e87f,ca7f8bfd48b88c7e894c9172ca1cc7b2cc27e78689987c480fb543085bec6fdc
imdb_flat_021_iid_M4_r15,4,1.0,15,1.0,12,3,45a9157e73c20b7d027d0c3d494e17ab9d957322deb326fff3791607f5943417,f34faa539b1e7881b6ff96c995b98c9ad0e8530f6eaddd7a32c5196a003ba470
imdb_flat_022_iid_M4_r16,4,1.0,16,0.25,14,4,6d070fc69e738742c1ecd5f6ee4d7b5cc93140b3e64677847ebfbe4a741b2673,914a2f1cdb694b943ec4a68b85d0bff27b53df36b1caddb7330cf9de4d4c9d11
imdb_flat_023_iid_M4_r17,4,1.0,17,0.25,14,4,0ed4fbb6e324c59a174f607e291961e11606dd5377df9befb74f6962f613e37d,c397aa424e60ccb1d38e0f56dfebf7f86c93e5c9775ddf64d77aca35eff55ada
imdb_flat_024_iid_M4_r18,4,1.0,18,1.4997597826618576e-32,12,3,5cce1c2c5058a9ecbe78b360130f5dcf2037e509b9084206c5e816965f5cae2c,1b3c7d83f04e995008786bdb3eee6399a5d13c7037f760385214c50bca1d483a
imdb_flat_025_iid_M4_r19,4,1.0,19,0.25,14,4,2f168d7a99669e492ffbbaccda9b0a1cb090578c6df8e50a772f1fb57303bd83,f05d3c033b7b458bc0d43355858b9417360ffa8e9c15223401398fe8698d4f35
imdb_flat_026_iid_M16_r0,16,4.0,0,0.8901650429449554,28,11,e65efa1e16019fd8c07f9ef2cd1497e8a1a18eadbaf1fa99cd0a2c55e8e7c945,dc1c47028a3201badcf3a39140fd6a362be5cad3f5a777f440c844b938c14a21
imdb_flat_027_iid_M16_r1,16,4.0,1,0.03661165235168155,32,13,ce061b83ff99de596f33e13ecd37293c9448c2b818a3aa27c2d94d94d6d1c893,0866e4a1e27e26e765de17e48c65279c62e6b564c51ecfb5722a28c6536c3ba5
imdb_flat_028_iid_M16_r2,16,4.0,2,0.25,26,10,2a114fe8215a7c99a197ce5ba9c0d7a118675579986a061dd637103c4130b5e2,449646fd82f9868de0ac5a46a2a84ba584746b8a084e5185f3ee603b5a5c5590
imdb_flat_029_iid_M16_r3,16,4.0,3,0.021446609406726238,22,8,9ed1fc0ea45084a117aa52c62f7996a2410b8aad380624afac5f00b7b70e265b,7f48c07f6db7287b740b89ee28dc62bbc3bce024c86ead87d21d6d5ee56a9435
imdb_flat_030_iid_M16_r4,16,4.0,4,0.5000000000000001,38,16,882072e399a449d309b6dc1fb5612f23cb1e0f2e4db4ac95a075682cf36d97a7,0c537fcf4700703f4cc1cb05ed75cfaddade31c7eaf022662ae8f0d60c07ce09
