schema_version,experiment_id,family,stage,run_label,qasm_path,qasm_sha256,shots,n_total_qubits,n_total_clbits,logical_depth,compiled_depth,compiled_cx,compiled_u,backend_compilation_pending,ideal_expected_bitstring,ideal_conditional_fidelity,ideal_success_probability,shadow_setting,clifford_seed,shadow_ensemble,shadow_sampling,dense_resynthesis_boundary
1,tiny_cal_4q_x_q0,calibration,calibration,tiny_cal_4q_x_q0,results/tiny_ridge_qsvt_shadows/qasm/tiny_cal_4q_x_q0.qasm,4a464cb2437de869a5b46f7e209209497e48389f27b601d26ae163c365b4dcdd,2048,4,4,2,2,0,1,True,0001,,,,,,,
1,tiny_cal_4q_x_q1,calibration,calibration,tiny_cal_4q_x_q1,results/tiny_ridge_qsvt_shadows/qasm/tiny_cal_4q_x_q1.qasm,4935c2a975be9b13cb0ddec7d327bca066ef896e3ad245e41aef39d76354c5b8,2048,4,4,2,2,0,1,True,0010,,,,,,,
1,tiny_cal_4q_x_q2,calibration,calibration,tiny_cal_4q_x_q2,results/tiny_ridge_qsvt_shadows/qasm/tiny_cal_4q_x_q2.qasm,b04f2bf9184e8cd31f73c2bb0c5c41e399a3c59d8a636e47d9d971704894cc74,2048,4,4,2,2,0,1,True,0100,,,,,,,
1,tiny_cal_4q_x_q3,calibration,calibration,tiny_cal_4q_x_q3,results/tiny_ridge_qsvt_shadows/qasm/tiny_cal_4q_x_q3.qasm,c796c8ed1c32177fc7ed004c85429eecce0c97f0930137fe4df5c3c7b0227a52,2048,4,4,2,2,0,1,True,1000,,,,,,,
1,tiny_ridge_direct_control,ridge_control,ridge,tiny_ridge_direct_control,results/tiny_ridge_qsvt_shadows/qasm/tiny_ridge_direct_control.qasm,76c5f1c8df689c5d2bae16f8fd597aa8d5139e64c47ddd8adc888389ae3bdccf,2048,4,4,3,3,0,2,True,0000,1.0,,,,,,
1,tiny_ridge_qsvt_prepare,tiny_ridge_qsvt,ridge,tiny_ridge_qsvt_prepare,results/tiny_ridge_qsvt_shadows/qasm/tiny_ridge_qsvt_prepare.qasm,2c573b9439caa9a42bc4d81fcfa46aedca656c47113de0e09548ad0afdfaba5d,2048,4,4,32,32,18,29,True,,,0.10456928040049661,,,,,
1,tiny_ridge_qsvt_verify,tiny_ridge_qsvt,ridge,tiny_ridge_qsvt_verify,results/tiny_ridge_qsvt_shadows/qasm/tiny_ridge_qsvt_verify.qasm,e49be28da090b5c0f23396ce1ef647d022d7ef1dfd1f66615f10a8761fec8557,2048,4,4,33,32,18,29,True,,0.9999999999999998,0.10456928040049661,,,,,
1,tiny_shadow_control_s00,interferometric_shadow_control,shadow_control,tiny_shadow_control_s00,results/tiny_ridge_qsvt_shadows/qasm/tiny_shadow_control_s00.qasm,791d89b4e514b054aea62d11d9cb817dbe925569b6a20eab5c4478a4e7382f94,2048,4,4,11,8,3,7,True,,,1.0,0.0,20260729.0,global_clifford,batched_static_setting,
1,tiny_shadow_qsvt_s00,interferometric_shadow_qsvt,shadow_qsvt,tiny_shadow_qsvt_s00,results/tiny_ridge_qsvt_shadows/qasm/tiny_shadow_qsvt_s00.qasm,d223240a79be7247e47ab6744ec60203c250813b5067f53f8881c36e91019208,2048,4,4,189,184,96,158,True,,,0.1893394687974295,0.0,20260729.0,global_clifford,batched_static_setting,Exact tiny-unitary equivalence; exponentially costly to construct and not scalable.
1,tiny_shadow_control_s01,interferometric_shadow_control,shadow_control,tiny_shadow_control_s01,results/tiny_ridge_qsvt_shadows/qasm/tiny_shadow_control_s01.qasm,4dec3369eb8584c24d143ddb1b2652002f91faf9f4fba6a2f8a5bf2900ab8b90,2048,4,4,7,6,2,6,True,,,1.0,1.0,20260730.0,global_clifford,batched_static_setting,
