experiment_id,hash_matches,qubits,clbits,measurements,schema_pass,basis_pass,audit_pass
tiny_cal_4q_x_q0,True,4,4,4,True,True,True
tiny_cal_4q_x_q1,True,4,4,4,True,True,True
tiny_cal_4q_x_q2,True,4,4,4,True,True,True
tiny_cal_4q_x_q3,True,4,4,4,True,True,True
tiny_ridge_direct_control,True,4,4,4,True,True,True
tiny_ridge_qsvt_prepare,True,4,4,4,True,True,True
tiny_ridge_qsvt_verify,True,4,4,4,True,True,True
tiny_shadow_control_s00,True,4,4,4,True,True,True
tiny_shadow_qsvt_s00,True,4,4,4,True,True,True
tiny_shadow_control_s01,True,4,4,4,True,True,True
tiny_shadow_qsvt_s01,True,4,4,4,True,True,True
tiny_shadow_control_s02,True,4,4,4,True,True,True
tiny_shadow_qsvt_s02,True,4,4,4,True,True,True
tiny_shadow_control_s03,True,4,4,4,True,True,True
tiny_shadow_qsvt_s03,True,4,4,4,True,True,True
tiny_shadow_control_s04,True,4,4,4,True,True,True
tiny_shadow_qsvt_s04,True,4,4,4,True,True,True
tiny_shadow_control_s05,True,4,4,4,True,True,True
tiny_shadow_qsvt_s05,True,4,4,4,True,True,True
tiny_shadow_control_s06,True,4,4,4,True,True,True
tiny_shadow_qsvt_s06,True,4,4,4,True,True,True
tiny_shadow_control_s07,True,4,4,4,True,True,True
tiny_shadow_qsvt_s07,True,4,4,4,True,True,True
tiny_shadow_control_s08,True,4,4,4,True,True,True
tiny_shadow_qsvt_s08,True,4,4,4,True,True,True
tiny_shadow_control_s09,True,4,4,4,True,True,True
tiny_shadow_qsvt_s09,True,4,4,4,True,True,True
tiny_shadow_control_s10,True,4,4,4,True,True,True
tiny_shadow_qsvt_s10,True,4,4,4,True,True,True
tiny_shadow_control_s11,True,4,4,4,True,True,True
tiny_shadow_qsvt_s11,True,4,4,4,True,True,True
